phrase,en,id
旅游,"to travel, to take a trip",0
觉得,"to think, to feel",1
最,most,2
为什么,why,3
也,also,4
运动,"sport, physical exercise",5
踢足球,to play football,6
一起,together,7
要,"to want to, would like to",8
新,new,9
它,it,10
眼睛,eye,11
花花,name of a cat,12
生病,to get sick,13
每,every,14
早上,morning,15
跑步,"to run, to jog",16
起床,to get up (from bed),17
药,medicine,18
身体,body,19
出院,to leave hospital,20
出,to come/go out,21
高,"tall, high",22
知道,to know,23
休息,to have or take a rest,24
忙,busy,25
时间,time,26
手表,watch,27
千,thousand,28
报纸,newspaper,29
送,"to send, to deliver",30
一下,"once, short action",31
牛奶,milk,32
房间,room,33
丈夫,husband,34
旁边,beside,35
真,"really, indeed",36
颜色,color,37
左边,left side,38
红色,red,39
红,red,40
生日,birthday,41
快乐,"happy, glad",42
给,"(used after a verb) to, for",43
晚上,"evening, night",44
问,to ask,45
非常,"very, extremely",46
开始,"to begin, to start",47
已经,already,48
长,long,49
两,two,50
帮,"to help, to assist",51
介绍,"to introduce, to recommend",52
外面,outside,53
准备,"to intend, to plan",54
就,just,55
鱼,fish,56
吧,"particle for suggestion, request or command",57
件,measure word. piece (of clothing),58
还,"passibly, fairly, rather",59
可以,not bad,60
不错,not bad,61
考试,test exam,62
意思,meaning,63
咖啡,coffee,64
对,"to, for, toward",65
以后,"after, afterwards, later",66
门,"door, gate",67
外,"outer, outside",68
羊肉,mutton,69
好吃,"delicious, yummy",70
面条,noodles,71
打篮球,to play baske tball,72
因为,"because, since",73
所以,"so, therefore",74
游泳,to swim,75
姐姐,elder sister,76
教室,classroom,77
机场,airport,78
路,"road, path, way",79
离,to be away from,80
公司,"company, frrm",81
远,"far, distant",82
公共汽车,bus,83
小时,hour,84
慢,slow,85
快,"quick, fast",86
走,to walk,87
到,"to arrive, to reach",88
再,"again, once more, reattempt to",89
让,"to let, to allow",90
告诉,to tell,91
等,to wait for,92
找,to look for,93
事情,"thing, matter, affair",94
服务员,"attendant, waiter/waitress",95
白,white,96
黑,black,97
贵,expensive,98
错,"wrong, mcorrect",99
从,from,100
跳舞,to dance,101
第一,first,102
希望,"to hope , to wish",103
问题,"question, problem",104
上班,to work,105
懂,"to understand, to know",106
完,"to finish, to end",107
题,"question , problem",108
课,"class, lesson",109
帮助,"to help, to assist, to aid",110
别,"don't ",111
哥哥,eld er brother,112
鸡蛋,(chicken) egg,113
西瓜,watermelon,114
正在,in the process of,115
手机,cell phone,116
洗,"to wash, to bathe",117
唱歌,to sing,118
男,"man, male",119
女,"woman, female",120
孩子,"child, kid",121
右边,"right, right side",122
比,"than, in comparison to",123
便宜,"cheap , inexpensive",124
说话,"to speak, to say, to talk",125
可能,"maybe, perhaps, probably",126
去年,last year,127
姓,"family name, surname",128
得,particle indicating degree,129
妻子,wife,130
雪,snow,131
零,zero,132
穿,to wear,133
进,to enter,134
弟弟,younger brother,135
近,close,136
着,used to indicate a continuous state,137
手,hand,138
拿,to hold,139
铅笔,pencil,140
杨笑笑,name of a person,141
笑,"to smile, to laugh",142
宾馆,hotel,143
往,"prep. to, towards",144
路口,"crossing, crossroads",145
有意思,interesting,146
但是,"but, still, yet",147
虽然,although,148
次,time,149
玩儿,"to play, to have fun",150
晴,"sunny, fine, clear",151
百,hundred,152
日,"day, date",153
新年,New Year,154
票,ticket,155
火车站,railway station,156
大家,"all, everybody",157
妹妹,younger sister,158
阴,"overcast, cloudy",159
虽然……但是……,although... (but)…,160
因为……所以……,because... so...,161
卖,to sell,162
累,tired,163
玩,to play,164
您,(polite) you,165
