phrase,en,id
你,(singular) you,0
好,"good, fine",1
你们,(plural) you,2
对不起,to be sorry,3
没关系,"that's OK, it doesn't matter",4
谢谢,to thank,5
不,"no, not",6
不客气,"you’re welcome, don’t mention it",7
再见,good bye (lit. see you again),8
叫,"to call, to be called",9
什么,what,10
名字,name,11
我,"I, me",12
是,to be,13
老师,teacher,14
吗,question particle,15
学生,student,16
人,"human, person",17
美国,USA,18
中国,China,19
她,she,20
谁,who,21
的,attribute particle,22
汉语,Chinese (language),23
哪,which,24
国,country,25
呢,question particle,26
他,"he, him",27
同学,classmate,28
朋友,friend,29
家,family,30
有,"to have, there is/are",31
女儿,daughter,32
几,how many,33
岁,years old,34
了,particle to indicate change,35
今年,this year,36
多,"how (asking degree, as in “how old”)",37
大,old (as in “how old”),38
会,"can, to know how",39
说,"to speak, to say",40
妈妈,mother,41
菜,"dish, food",42
很,"very, quite",43
做,to make,44
写,to write,45
汉字,Chinese character,46
字,"character, ideograph",47
怎么,"how (as in ""how you write"")",48
读,to read,49
请,please,50
今天,today,51
号,-th day (when telling dates),52
月,month,53
星期,week,54
昨天,yesterday,55
明天,tomorrow,56
去,to go,57
学校,school,58
看,"to look at, to watch, to read",59
书,book,60
想,to want,61
喝,to drink,62
茶,tea,63
吃,to eat,64
米饭,cooked rice,65
下午,afternoon,66
商店,"shop, store",67
买,"to buy, to purchase",68
个,measure word for almost all things,69
杯子,"cup, glass",70
这,this,71
多少,"how many, how much",72
钱,money,73
块,1 RMB / 1 dollar,74
那,that,75
小,"small, little",76
猫,cat,77
在,at (expressing locations of things),78
那儿,there,79
狗,dog,80
椅子,chair,81
下面,"under, below",82
在,at (expressing locations of actions),83
哪儿,where,84
工作,"job, to work,",85
儿子,son,86
医院,hospital,87
医生,doctor,88
爸爸,dad,89
桌子,"desk, table",90
上,"up, above",91
电脑,computer,92
和,and,93
本,measure word for books,94
里,inside,95
前面,front,96
后面,back,97
王方,"Wang Fang, a personal name",98
谢朋,"Xie Peng, a personal name",99
这儿,here,100
没有,there is not,101
能,to be able to,102
坐,to sit,103
现在,now,104
点,o'clock,105
分,minute,106
中午,noon,107
吃饭,to eat a meal,108
时候,"time, moment",109
回,to go back,110
我们,"we, us",111
电影,movie,112
住,to live (at),113
前,before,114
北京,Beijing,115
天气,weather,116
怎么样,how is,117
太,"too, excessively",118
热,hot,119
冷,cold,120
下雨,to rain,121
小姐,"miss, young lady",122
来,to come,123
雨,rain,124
下,to fall,125
爱,"to like, to love",126
些,"measure word, some, a few",127
水果,fruit,128
水,water,129
喂,"hello, hey",130
学习,"to study, to learn",131
大卫,David,132
上午,"morning, before noon",133
睡觉,to sleep,134
电视,television,135
喜欢,to like,136
打电话,to make a phone call,137
东西,"thing, stuff",138
一点儿,"a few, a little",139
苹果,an apple,140
看见,to see,141
先生,"Mr, sir",142
开,to drive,143
车,"car, vehicle",144
回来,to come back,145
分钟,minute,146
后,"after, afterwards, later",147
张,Zhang,148
衣服,clothes,149
漂亮,"beautiful, pretty",150
少,"little, few",151
这些,these,152
都,"both, all",153
认识,"to meet, to know someone",154
年,year,155
大学,university,156
饭店,hotel,157
出租车,taxi,158
高兴,happy,159
听,to listen,160
飞机,airplane,161
一,one,162
九,nine,163
八,eight,164
四,four,165
二,two,166
七,seven,167
十,ten,168
六,six,169
三,three,170
五,five,171
