phrase,en,id
启示,"to reveal, to enlighten",0
爽快,"refreshed, rejuvenated",1
巴不得,"to be eager for, to long for",2
嚷,to blurt out,3
拿手,"expert in, good at",4
佳肴,"fine food, delicacies, delicious food",5
异常,"exceptional, abnormal, an anomaly",6
勤劳,"hardworking, industrious, diligent",7
绅士,gentleman,8
风度,"elegance (for men), elegant demeanor, grace, poise",9
十足,"ample, complete, hundred percent, a pure shade (of some color)",10
督促,"to supervise and urge completion of a task, to urge on",11
打架,"to fight, to scuffle, to come to blows",12
别扭,"awkward, difficult, uncomfortable, not agreeing, at loggerheads",13
融洽,"harmonious, friendly relations, on good terms with one another",14
亲密,"intimate, close",15
忽略,"to neglect, to overlook, to ignore",16
嫉妒,"to be jealous, to envy, to hate",17
滔滔不绝,"unceasing torrent (idiom), talking non-stop",18
嘲笑,"to jeer at, to deride, to ridicule, mockery, derision",19
讨好,"to get the desired outcome, to win favor by fawning on sb",20
郑重,"serious, solemn",21
当面,"to sb's face, in sb's presence",22
人家,"household, dwelling, family, sb else's house, household business",23
附和,"to parrot, to crib, to copy sb's action or words",24
大伙儿,"we all, you all, everybody",25
和睦,"peaceful relations, harmonious",26
宽容,"lenient, tolerant, indulgent, charitable, to forgive",27
疑惑,"to doubt, to distrust, unconvincing, to puzzle over, misgivings",28
反问,"to ask (a question) in reply, to answer a question with a question",29
瞬间,"moment, momentary, in a flash",30
鸦雀无声,lit. crow and peacock make no sound,31
启蒙,to instruct the young,32
反驳,"to retort, to refute",33
意识,"consciousness, awareness, to be aware, to realize",34
实行,"to implement, to carry out, to put into practice",35
严厉,"severe, strict",36
约束,"to restrict, to limit to, to constrain, restriction, constraint",37
容貌,"one's appearance, one's aspect, looks, features",38
开朗,"spacious and well-lit, open and clear",39
娇气,"delicate, squeamish, finicky",40
挑拨,"to incite disharmony, to instigate",41
留恋,"reluctant to leave, to hate to have to go, to recall fondly",42
恩怨,"gratitude and grudges, resentment, grudges, grievances",43
艘,measure word for ship,44
福气,"good fortune, to enjoy good fortune",45
气质,"temperament, personality traits, manners",46
筐,basket,47
磅,pound,48
挑剔,"picky, fussy",49
风趣,"charm, humor, wit, humorous, witty",50
伶俐,"clever, witty, intelligent",51
闲话,"gossip, complaint, scandal",52
丸,pill,53
和蔼,"kindly, nice, amiable",54
和气,"friendly, polite, amiable",55
目光,"sight, vision, view, gaze, look",56
慈祥,"kindly, benevolent (often of older person)",57
跨,"to step across, to stride over, to straddle, to span",58
自主,"independent, to act for oneself, autonomous",59
甭,need not,60
脱离,"to separate oneself from, to break away from, diastasis (medicine)",61
诱惑,"to entice, to lure, to induce, to attract",62
无比,"incomparable, matchless",63
向往,"to yearn for, to look forward to",64
孤独,"lonely, solitary",65
片刻,"short period of time, a moment",66
步伐,"pace, (measured) step, march",67
包围,"to surround, to encircle, to hem in",68
感染,"infection, to infect, to influence",69
恨不得,"wishing one could do sth, to hate to be unable, itching to do sth",70
跟前,"in front of, close to, nearby, the time just before",71
团圆,to have a reunion,72
近来,"recently, lately",73
酝酿,"(of alcohol) to ferment, (of a crisis) to be brewing",74
刹那,"an instant (Sanskrit: ksana), split second, the twinkling of an eye",75
反常,"unusual, abnormal",76
埋怨,"to complain, to grumble (about), to reproach, to blame",77
体谅,"to empathize, to allow (for something), to show understanding",78
无精打采,"dispirited and downcast (idiom); listless, in low spirits, washed out",79
规划,"to plan (how to do sth), planning, plan, program",80
熬,"to boil, to simmer",81
漫长,"very long, endless",82
寂静,quiet,83
稿件,"rough draft, material contributing to a final document",84
难得,"seldom, rare, hard to come by",85
心疼,"to love dearly, to feel sorry for sb, to regret, to grudge",86
掩饰,"to cover up, to conceal, to mask, to gloss over",87
隐瞒,"to conceal, to hide (a taboo subject), to cover up the truth",88
唠叨,"to prattle, to chatter away, to nag, garrulous, nagging",89
吃苦,to bear hardships,90
欣慰,to be gratified,91
本事,"source material, original story",92
皱纹,wrinkle,93
顿时,"immediately, suddenly",94
不由得,"can’t help, cannot but",95
热泪盈眶,"eyes brimming with tears of excitement (idiom), extremely moved",96
扛,to raise aloft with both hands,97
搅拌,"to stir, to agitate",98
掰,to break off or break open sth with one's hands,99
挎,"to carry (esp. slung over the arm, shoulder or side)",100
搀,to take by the arm and assist,101
晾,"to dry in the air, (fig.) to cold-shoulder",102
敬礼,"to salute, salute",103
飞翔,"to circle in the air, to soar",104
鞠躬,to bow,105
啃,"to gnaw, to nibble, to bite",106
清晨,early morning,107
迎面,"directly, head-on (collision), in one's face (of wind)",108
模样,"look, style, appearance, approximation, about, also pr.",109
打量,"to size sb up, to look sb up and down, to take the measure of",110
番,measure word similar to 遍,111
搓,"to rub or roll between the hands or fingers, to twist",112
迟疑,to hesitate,113
拜托,"to request sb to do sth, please!",114
饱经沧桑,having lived through many changes,115
流露,"to express, to reveal (one's thoughts or feelings)",116
朴实,"plain, simple, guileless, down-to-earth, sincere and honest",117
过于,"too much, excessively",118
操劳,"to work hard, to look after",119
胡须,beard,120
起码,"at the minimum, at the very least",121
口音,oral speech sounds (linguistics),122
乡镇,"village, township",123
原先,"former, original",124
裁缝,"tailor, dressmaker",125
港口,"port, harbor",126
斯文,"refined, educate, cultured, intellectual, polite, gentle",127
心眼儿,"one's thoughts, mind, intention, willingness to accept new ideas",128
信誉,"prestige, distinction, reputation, trust",129
欺骗,"to deceive, to cheat",130
学位,academic degree,131
一流,"top quality, front ranking",132
主管,"in charge, responsible for, person in charge, manager",133
助手,"assistant, helper",134
骨干,"diaphysis (long segment of a bone), fig. backbone",135
小心翼翼,"cautious and solemn (idiom); very carefully, prudent",136
喜悦,"happy, joyous",137
拨,to push aside,138
仍旧,"still (remaining), to remain (the same), yet",139
隐约,"vague, faint, indistinct",140
浑身,"all over, from head to foot",141
馅儿,"filling, stuffing",142
灿烂,"to glitter, brilliant, splendid",143
惦记,"to think of, to keep thinking about, to be concerned about",144
丢人,to lose face,145
炫耀,"to show off, to flaunt",146
面子,"honor, reputation, face (as in ""losing face"")",147
辜负,"to fail to live up (to expectations), unworthy (of trust), to let down",148
期望,"to have expectations, to earnestly hope, expectation, hope",149
嫂子,sister-in-law,150
