phrase,en,id
周末,weekend,0
打算,plan,1
啊,“a” (exclamation),2
跟,with,3
小丽,(name),4
小刚,(name),5
一直,all the time,6
游戏,game,7
作业,homework,8
着急,anxious,9
复习,to review,10
南方,southern,11
北方,north,12
面包,bread,13
带,to bring,14
地图,map,15
搬,to carry,16
腿,leg,17
疼,to feel pain,18
脚,foot,19
树,tree,20
容易,easy,21
难,difficult,22
经理,manager,23
办公室,office,24
周明,"Zhou Ming, a personal name",25
周,surname Zhou,26
辆,measure word for cars,27
楼,building,28
拿,"to grab, to take",29
把,measure word for things with handles,30
伞,umbrella,31
胖,fat,32
其实,"actually, in fact",33
瘦,skinny,34
还是,or,35
爬山,to hike a mountain,36
小心,careful,37
条,measure word for things that are long and soft,38
裤子,pants,39
记得,to remember,40
衬衫,shirt,41
元,"measure word, unit for money",42
新鲜,fresh,43
甜,sweet,44
只,"only, solely",45
放,to put,46
饮料,"beverage, drink",47
或者,or,48
舒服,comfortable,49
花,flower,50
绿,green,51
比赛,competition,52
照片,photo,53
年级,grade,54
又,and,55
马可,(name),56
小明,(name),57
聪明,smart,58
热情,"warm, enthusiastic",59
努力,hard-working,60
总是,always,61
回答,to answer,62
站,to stand,63
饿,hungry,64
超市,supermarket,65
蛋糕,cake,66
年轻,young,67
认真,serious,68
客人,customer,69
李小美,(name),70
发烧,to have a fever,71
为,for,72
照顾,take care of,73
用,need,74
感冒,to catch a cold,75
张,(surname),76
季节,season,77
当然,of course,78
春天,spring,79
草,grass,80
夏天,summer,81
裙子,skirt,82
最近,these days,83
越,more,84
突然,suddenly,85
离开,to leave,86
清楚,clear,87
刚才,just now,88
帮忙,to help,89
特别,especially,90
讲,to explain,91
明白,clear,92
锻炼,to exercise,93
音乐,music,94
公园,park,95
聊天儿,to chat,96
更,more,97
同事,colleague,98
以前,"before, ago",99
银行,bank,100
久,long time,101
感兴趣,to be interested in,102
结婚,to get married,103
欢迎,to welcome,104
迟到,to be late,105
半,half,106
接,to pick up (a person),107
刻,quarter hour,108
差,to fall short of,109
又,again,110
满意,to be satisfied,111
电梯,elevator,112
层,measure word - level,113
害怕,to be afraid,114
熊猫,panda,115
见面,to meet,116
安静,quiet,117
一会儿,moment,118
马上,immediately,119
洗手间,bathroom,120
老,old (age),121
几乎,almost,122
变化,change,123
健康,healthy,124
重要,important,125
中文,Chinese Language,126
班,class,127
一样,"same, as... as...",128
最后,the last one,129
放心,to rest assured,130
一定,definitely,131
担心,to worry,132
比较,"fairly, comparatively",133
了解,to be familiar with,134
先,first,135
中间,in the middle,136
参加,to participate,137
影响,influence,138
个子,"height, stature",139
矮,short,140
历史,history,141
体育,"PE, sports",142
数学,maths,143
方便,convenient,144
自行车,bicycle,145
骑,to ride,146
旧,old,147
换,to exchange,148
地方,place,149
主要,main,150
环境,environment,151
附近,nearby,152
图书馆,library,153
借,"to borrow, to lend",154
词典,dictionary,155
还,to return,156
灯,"light, lamp",157
会议,"a meeting, conference",158
