phrase,en,id
阿拉伯语,Arabic,0
哎,hey!,1
哎呀,interjection of wonder,2
哀求,to entreat,3
挨家挨户,to go from house to house,4
癌,cancer,5
癌症,cancer,6
艾滋病,AIDS,7
唉,alas,8
爱不释手,to love sth too much to part with it,9
爱理不理,to look cold and indifferent,10
爱面子,to like to look good in the eyes of others,11
爱惜,to cherish,12
碍事,(usu used in the negative) to be of importance or to matter,13
安定,stable,14
安抚,to placate,15
安眠药,sleeping pill,16
安宁,peaceful,17
安稳,smooth and steady,18
安心,at ease,19
安逸,easy and comfortable,20
按键,button or key,21
按理说,it is reasonable to say that...,22
按说,in the ordinary course of events,23
案件,case,24
暗地里,secretly,25
暗杀,to assassinate,26
暗中,in the dark,27
昂贵,expensive,28
凹,depressed,29
熬,to cook on a slow fire,30
熬夜,to stay up late or all night,31
傲,proud,32
傲慢,arrogant,33
奥秘,secret,34
奥运会,abbr. for 奥林匹克运动会,35
八卦,the eight divinatory trigrams of the Book of Changes 易经,36
巴不得,(coll.) to be eager for,37
扒,to peel,38
芭蕾,ballet,39
把柄,handle,40
把关,to guard a pass,41
把手,handle,42
靶子,target,43
坝,dam,44
罢免,to remove sb from their post,45
罢休,to give up,46
霸占,to occupy by force,47
掰,to break off or break open sth with one's hands,48
白白,in vain,49
百分比,percentage,50
百合,lily,51
百科全书,encyclopedia,52
柏树,cypress tree,53
摆放,to set up,54
摆平,to be fair,55
摆设,to arrange,56
拜会,pay an official call,57
拜见,to pay a formal visit,58
拜年,to pay a New Year call,59
拜托,to request sb to do sth,60
扳,to pull,61
颁布,to issue,62
颁发,to issue,63
颁奖,to confer an award,64
斑点,spot,65
搬迁,to move,66
板块,slab,67
办不到,impossible,68
半边天,half the sky,69
半场,half of a game or contest,70
半岛,peninsula,71
半路,halfway,72
半数,half the number,73
半途而废,to give up halfway,74
半信半疑,half doubting,75
半真半假,(idiom) half true and half false,76
扮,to disguise oneself as,77
伴,partner,78
伴侣,companion,79
伴随,to accompany,80
伴奏,to accompany,81
拌,to mix,82
帮手,helper,83
绑,to tie,84
绑架,to kidnap,85
榜样,example,86
棒球,baseball,87
磅,see 磅秤 scale,88
包袱,wrapping cloth,89
包容,to pardon,90
包扎,to wrap up,91
剥,to peel,92
煲,to cook slowly over a low flame,93
饱和,saturation,94
饱满,full,95
宝库,treasure-house,96
宝藏,precious mineral deposits,97
保管,to hold in safekeeping,98
保姆,nanny,99
保暖,to stay warm,100
保鲜,keep fresh,101
保修,to promise to keep sth in good repair,102
保佑,to bless and protect,103
保障,to ensure,104
保质期,date of use,105
保重,to take care of oneself,106
堡垒,fort,107
报,to announce,108
报仇,to take revenge,109
报酬,reward,110
报废,to scrap,111
报复,to make reprisals,112
报社,newspaper,113
报亭,kiosk,114
报销,to submit an expense account,115
抱负,aspiration,116
豹,leopard,117
暴风骤雨,violent wind and rainstorm,118
暴利,sudden huge profits,119
暴躁,irascible,120
曝光,to expose exposure,121
爆冷门,an upset,122
爆满,filled to capacity (of theater,123
爆竹,firecracker,124
卑鄙,base,125
悲哀,grieved,126
悲观,pessimistic,127
悲欢离合,joys and sorrows,128
悲痛,grieved,129
碑,a monument,130
贝壳,shell,131
备课,(of a teacher) to prepare lessons,132
备受,to fully experience,133
备用,reserve,134
背面,the back,135
背叛,to betray,136
背诵,to recite,137
被捕,to be arrested,138
奔波,to rush about,139
奔赴,to rush to,140
本分,(to play) one's part,141
本能,instinct,142
本钱,capital,143
本色,inherent qualities,144
本性,natural instincts,145
本意,original idea,146
本着,based on...,147
奔,to go to,148
笨蛋,fool,149
笨重,heavy,150
崩溃,to collapse,151
绷,to draw tight,152
绷带,bandage,153
蹦,to jump,154
逼近,to press on towards,155
逼迫,to force,156
逼真,lifelike,157
鼻涕,nasal mucus,158
比比皆是,can be found everywhere,159
比不上,can't compare with,160
比起,compared with,161
比试,to have a competition,162
比喻,to compare,163
鄙视,to despise,164
必不可少,absolutely necessary,165
必定,to be bound to,166
碧绿,dark green,167
弊病,malady,168
弊端,malpractice,169
壁画,mural,170
避难,refuge,171
避暑,to be away for the summer holidays,172
边疆,border area,173
边界,boundary,174
边远,far from the center,175
编号,to number,176
编剧,to write a play,177
编排,to arrange,178
编写,to compile,179
编造,to compile,180
鞭策,to spur on,181
鞭炮,firecrackers,182
贬值,to become devaluated,183
变革,to transform,184
变幻莫测,to change unpredictably,185
变迁,changes,186
变异,variation,187
变质,to degenerate,188
便道,pavement,189
便饭,an ordinary meal,190
便捷,convenient and fast,191
便利店,convenience store,192
遍布,to cover the whole,193
辨别,to differentiate,194
辨认,to recognize,195
辩,to dispute,196
辩护,to speak in defense of,197
辩解,to explain,198
辫子,plait,199
标,mark,200
标榜,to flaunt,201
标本,specimen,202
标签,label,203
标示,to indicate,204
标语,written slogan,205
标致,beautiful,206
飙升,to rise rapidly,207
表白,to explain oneself,208
表决,to decide by vote,209
表述,to formulate,210
表率,example,211
表态,to declare one's position,212
表彰,to honor,213
憋,to choke,214
别具匠心,show great ingenuity,215
别看,in spite of,216
别墅,villa,217
别说,to say nothing of,218
别提了,say no more,219
别致,unusual,220
别扭,awkward,221
彬彬有礼,refined and courteous,222
滨海,coastal,223
缤纷,vast and various,224
冰棍儿,ice lolly,225
冰山,iceberg,226
丙,third of the ten Heavenly Stems 十天干,227
秉承,to take orders,228
并非,really isn't,229
并购,merger and acquisition,230
并列,to stand side by side,231
并行,to proceed in parallel,232
病床,hospital bed,233
病症,disease,234
拨,to push aside with the hand,235
拨款,to allocate funds,236
拨通,to dial through,237
波及,to spread to,238
波澜,billows,239
波涛,great waves,240
波折,twists and turns,241
剥夺,to deprive,242
剥削,to exploit,243
伯伯,father's elder brother,244
伯父,father's elder brother,245
伯母,wife of father's elder brother,246
驳回,to reject,247
脖子,neck,248
搏斗,to wrestle,249
不定,indefinite,250
不见得,not necessarily,251
不利于,unfavorable to,252
不慎,incautious,253
不适,unwell,254
不算,to not count,255
不像话,unreasonable,256
不屑,to disdain to do sth,257
不懈,untiring,258
不亚于,no less than,259
不亦乐乎,lit. isn't that a joy? extremely,260
不翼而飞,to disappear without trace,261
不用说,needless to say,262
不正之风,unhealthy tendency,263
补给,supply,264
补救,to remedy,265
捕捉,to catch,266
哺育,to feed,267
不耻下问,not feel ashamed to ask and learn from one's subordinates,268
不辞而别,to leave without saying good-bye,269
不得而知,unknown,270
不得已,to act against one's will,271
不妨,there is no harm in,272
不服,not to accept sth,273
不服气,to defy,274
不假思索,to act without taking time to think,275
不解,to not understand,276
不经意,not paying attention,277
不景气,slack,278
不堪,cannot bear,279
不可避免,unavoidably,280
不可思议,inconceivable,281
不肯,unwilling,282
不理,to refuse to acknowledge,283
不了了之,to settle a matter by leaving it unsettled,284
不难,not difficult to,285
不平,uneven,286
不起眼,unremarkable,287
不容,must not,288
不如说,it would be better to say,289
不同寻常,extraordinary,290
不为人知,not known to anyone,291
不惜,not stint,292
不相上下,equally matched,293
不宜,not suitable,294
不已,endlessly,295
不以为然,not to accept as correct,296
不由得,can't help,297
不由自主,can't help,298
不予,to withhold,299
不约而同,to agree by chance,300
不知,not to know,301
不知不觉,unconsciously,302
不准,not to allow,303
布局,arrangement,304
步伐,pace,305
步入,to step into,306
步骤,procedure,307
部件,part,308
部署,to dispose,309
猜谜,to guess a riddle,310
猜想,to guess,311
才华,talent,312
财经,finance and economics,313
财力,financial resources,314
财务,financial affairs,315
财物,property,316
财政,finances,317
裁,to cut out,318
裁定,ruling,319
裁决,ruling,320
采,to pick,321
采集,to gather,322
采矿,mining,323
彩电,color TV,324
彩虹,rainbow,325
彩霞,clouds tinged with sunset hues,326
菜市场,food market,327
参见,to refer to,328
参军,to join the army,329
参谋,staff officer,330
参照,to consult a reference,331
餐桌,dining table,332
残,to destroy,333
残留,to remain,334
残缺,badly damaged,335
残忍,cruel,336
惭愧,ashamed,337
惨白,deathly pale,338
惨痛,bitter,339
惨重,disastrous,340
灿烂,to glitter,341
苍蝇,housefly,342
沧桑,great changes,343
舱,cabin,344
藏匿,to cover up,345
藏品,museum piece,346
藏身,to hide,347
操控,to control,348
操劳,to work hard,349
操心,to worry about,350
槽,trough,351
草案,draft (legislation,352
草坪,lawn,353
侧面,lateral side,354
侧重,to place particular emphasis on,355
测算,to take measurements and calculate,356
测验,test,357
层出不穷,more and more emerge,358
蹭,to rub against,359
差错,mistake,360
差额,balance,361
插手,to get involved in,362
插图,illustration,363
插嘴,to interrupt,364
茶道,Japanese tea ceremony,365
茶馆儿,a teashop,366
查处,to investigate and handle,367
查明,to investigate and find out,368
查找,to search for,369
察觉,to sense,370
察看,to watch,371
诧异,flabbergasted,372
掺,to mix,373
搀,to take by the arm and assist,374
馋,gluttonous,375
禅杖,the staff of a Buddhist monk,376
缠,to wind around,377
产,to give birth,378
产地,source,379
产物,product,380
产值,value of output,381
铲,to shovel,382
铲子,shovel,383
阐述,to expound,384
颤抖,to shudder,385
猖狂,savage,386
长达,to extend as long as,387
长期以来,ever since a long time ago,388
长效,to be effective over an extended period,389
长征,expedition,390
长足,remarkable (progress,391
常理,common sense,392
常人,ordinary person,393
